name,categories,lat,lng,state
Thai Cafe,Thai Restaurant,30.865374,-83.285307,GA
Thai Mobile,Thai Restaurant,30.97077001280171,-83.21569650371507,GA
Osaka Hibachi and Sushi,Japanese Restaurant,30.881226,-83.285756,GA
Aligatou,Japanese Restaurant,30.81999698,-83.31428087,GA
Ichiban Japanese Steakhouse & Sushi Bar,Japanese Restaurant,30.87311310996508,-83.29020889449839,GA
Wasabi,Sushi Restaurant,30.56815042494239,-81.82630337857813,FL
China Garden,Asian Restaurant,30.56799353303172,-81.82408264998898,FL
China 1,Chinese Restaurant,30.694296464227325,-81.9195404452768,FL
Chens China,Chinese Restaurant,31.032181,-82.744557,GA
Tuptim Thai,Thai Restaurant,30.831514578629704,-82.00682419447108,GA
Thai Smile,Thai Restaurant,30.83171,-82.006751,GA
Green Papaya,Asian Restaurant,30.475274063408467,-81.64239569749716,FL
Marco Polo Mongolian & Chinese Restaurant,Asian Restaurant,30.43700437452106,-81.7001917032572,FL
Kabuki Japanese Steak House,Asian Restaurant,30.646775732256827,-81.45743975296057,FL
Panda Express,Asian Restaurant,30.481334701509603,-81.63701086540044,FL
Golden Eggroll,Chinese Restaurant,30.386621345054248,-81.67679829988317,FL
Panda Express,Asian Restaurant,30.629321,-81.558438,FL
Sushi House,Asian Restaurant,30.628202290930787,-81.5498558161178,FL
Chan's Chinese Restaurant,Chinese Restaurant,30.429457,-81.659041,FL
Ho Ho's Chinese Restaurant,Chinese Restaurant,30.391814395313702,-81.6800636465633,FL
Sun Sun Garden,Chinese Restaurant,30.485013412817874,-81.60429014612218,FL
Sashimi Fusion,Japanese Restaurant,30.363224791524004,-81.50145412427335,FL
Hana Sushi,Japanese Restaurant,30.641409134347377,-81.45547195020018,FL
Fuji Yama Steakhouse & Sushi Lounge,Sushi Restaurant,30.475171086634603,-81.64227500185649,FL
Fancy Sushi,Sushi Restaurant,30.63920079099292,-81.45403610404297,FL
Osaka Steak House,Japanese Restaurant,30.78412903118832,-81.61002589933094,GA
Raidas Asian Cafe,Asian Restaurant,30.7815468,-81.63094455,GA
Lucky Wok,Asian Restaurant,30.63899467337768,-81.44830813621888,FL
China King,Asian Restaurant,30.63302347936704,-81.60067713661047,FL
China One,Asian Restaurant,30.624608,-81.544477,FL
china buffet dunn ave,Asian Restaurant,30.4285888671875,-81.66297149658203,FL
Wok & Roll,Chinese Restaurant,30.3641930347895,-81.50182214629709,FL
Wasabi,Sushi Restaurant,30.479730257370726,-81.63845130349559,FL
Wicked Bao,Asian Restaurant,30.674752,-81.463337,FL
Nagasaki Sushi and Grill,Japanese Restaurant,30.459738625272664,-81.57922105797962,FL
Wasabi Sushi,Sushi Restaurant,30.777080070042423,-81.61984890494949,GA
Great Wall Chinese Restaurant,Chinese Restaurant,30.365379004587165,-81.59553069015368,FL
Chinese Buffet,Chinese Restaurant,30.428820172736128,-81.66319182271742,FL
China King,Chinese Restaurant,30.78550518265111,-81.64931396322046,GA
Wok 'n Roll,Chinese Restaurant,30.432295678060715,-81.67601558366746,FL
King Wok,Chinese Restaurant,30.648737766851898,-81.45525945666205,FL
China Wok,Chinese Restaurant,30.78415,-81.634804,GA
China Wok,Chinese Restaurant,30.450594337801263,-81.70402977939723,FL
New Dragon Chinese & Japanese Restaurant,Japanese Restaurant,30.44705527329162,-81.63807499419339,FL
Sake Sushi,Sushi Restaurant,30.451077,-81.70388207,Florida
Pat Thai,Thai Restaurant,30.750351529450842,-81.57757508528279,GA
Ahan Thai Kitchen,Thai Restaurant,30.6183308,-81.5201144,FL
Pad Thai,Thai Restaurant,30.437935,-81.57996,FL
Bonzai,Japanese Restaurant,30.78924051,-81.64998,GA
Kabuki Japanese Steakhouse and Sushi Bar,Japanese Restaurant,30.643159,-81.452536,FL
Kabuki,Japanese Restaurant,30.646781500000003,-81.45743329999999,FL
Wasabi Sushi Bar,Japanese Restaurant,30.63600910972226,-81.75585575370474,FL
Kumo Japanese & Sushi Grill,Sushi Restaurant,30.393302931811743,-81.50023986285575,FL
Fujl,Sushi Restaurant,30.47784,-81.6116,FL
Fancy Sushi & Grill,Sushi Restaurant,30.626173,-81.544525,FL
Amelia City  Sushi,Sushi Restaurant,30.59256955664561,-81.456283864289,FL
Sam Won Garden,Korean Restaurant,30.38101,-81.609895,FL
Taj,Indian Restaurant,31.228799230201275,-85.43128952719674,AL
chow king,Asian Restaurant,31.2306848201827,-85.43116229644757,AL
Thai House,Thai Restaurant,31.26231986840609,-85.43977318344143,AL
Panda Express,Chinese Restaurant,31.258446,-85.43578,AL
Ichiban Sushi Seafood Buffet,Japanese Restaurant,31.268642287208177,-85.44870527199586,AL
Sakura,Japanese Restaurant,31.214772132359816,-85.35913947154383,AL
Mikata Japanese Steakhouse,Japanese Restaurant,31.267485805141582,-85.4435991260375,AL
